"Compound.ID","SMILES","FES","ABL2","BMX","TEC","IGF1R","TYK2","ZAK","STK39","STK24","MST4","MAP4K4","TNIK","SLK","STK10","PAK4","PKMYT1","CSNK1G1","CSNK1G3","VRK1","GSG2","PLK4","TLK1","ADRBK1","ADRBK2","GRK5","PDPK1","RPS6KA1","RPS6KA6","AKT3","STK38L","CDC42BPB","STK32A","CHEK2","DCLK1","PHKG2","CAMK2A","STK33","SNF1LK2","PRKAA1","PRKAA2","STK17A","STK17B","PIM2","PIM3","PIM1","NEK1","NEK2","CAMKK2","STK16","GAK","AAK1","CDK9","CDK2","PCTK2","MAPK8","MAPK13","MAPK3","MAPK7","CDKL1","SRPK1","SRPK2","CLK3","CLK4","DYRK1A","DYRK2","CDC7","TTK","GUCY2D"
"GSK299115A","CC1=C(C(CC(=O)N1)c1ccc(Cl)c(Cl)c1)C(=O)Nc1ccc2[nH]ncc2c1",0.5,0.5,0.8,0.3,-0.3,-0.1,-0.4,0.4,3,2.4,-1.7,-0.1,-0.1,0.7,0.6,-0.1,-0.2,-0.3,0.4,0.3,1.9,0.6,4.8,1.9,3.6,0.1,0,0.1,-0.3,4.3,2.2,1,0.9,1,-0.1,0.2,3.2,-0.6,2.6,3.8,0.1,1.4,0.8,1.1,0.9,-0.3,0.4,0.6,0.6,-0.7,2.5,0.6,0.6,0.2,0.7,-0.2,3.5,-0.1,0,0.5,0,0.4,4.4,1.7,0.9,0.2,0.8,-0.2
"GSK300014A","CS(=O)(=O)CCNCc1cc(cs1)-c1cc2c(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)ncnc2s1",1.1,0.2,1.2,0.6,0,1,1,2.2,1.5,4.2,0.5,2.6,2,3.2,1.4,-0.2,-0.2,-0.4,1.9,-0.2,2.9,2.8,-0.1,0.1,1.6,0.7,0.7,1.5,0.2,0.7,0.8,0,NA,0,1.3,1.4,0.8,0.3,0.8,0.6,1.6,5.8,5.2,1.9,3.7,-0.3,4.2,2.2,0.6,1.3,0.7,2,1.3,1,0.9,0.5,-0.3,-0.6,-1.3,2.9,1.5,0.6,1.7,1.1,0.2,1.5,1.8,2
"GSK312948A","COc1cc2ncn(-c3cc(OCc4cccs4)c(s3)C(N)=O)c2cc1OC",0.5,1.5,0.4,-0.4,-0.1,2.2,-0.7,-1.4,-0.4,-0.1,-1.5,2.4,5,10.1,0.7,-0.1,0.9,0.6,2.7,0,3.5,0,0.3,-0.2,1.5,1.5,2.7,2.1,-0.7,-0.5,-1.5,0.6,1.7,0.1,-0.1,0.2,3.5,-0.3,1,2.3,0.4,2.2,0.1,1.5,0.3,-0.4,2.9,1.5,2.8,3,6,0.5,0.3,0.1,0.3,-0.8,0,-0.4,-0.2,1.2,-0.1,0.3,2.6,0.9,3,-0.1,0.7,-1
"GSK317314A","COc1ccc2ncn(-c3cc(O[C@H](C)c4ccccc4Cl)c(s3)C(N)=O)c2c1",0.2,0.7,-0.4,-0.4,-0.2,0.3,0.1,-0.2,-0.6,-1,-2,0.8,2.9,5.8,2.8,0.9,0.3,0.3,-0.1,0.3,1.3,-0.9,-0.5,-0.3,0.8,0.6,0.2,0,-0.3,0.1,-0.1,0.4,-0.2,0.4,0,1.4,1.3,2.1,0.2,0.9,1.1,-0.1,1.5,NA,2.5,-0.2,0.8,2.5,6.9,2.4,3.9,1.1,-0.8,0.1,1.5,-0.2,0.2,-0.8,-0.2,0.5,0.1,0.3,3.2,0.5,-1.3,0.8,0.5,0.1
"GSK317315A","COc1ccc2ncn(-c3cc(O[C@H](C)c4ccccc4C(F)(F)F)c(s3)C(N)=O)c2c1",-0.4,0.3,-0.5,-0.9,0.1,0.2,0.5,-1.2,0.4,-0.5,-0.4,0.6,2.5,7,1.7,-1.9,0.3,-0.4,0.2,0,1,0,0.2,-0.2,1.2,1.2,0.1,-0.3,-0.7,NA,-0.3,0.1,0.1,0.1,0.2,1.9,1,3.4,-0.5,1.1,0.3,-0.5,1.9,3.2,2.4,-0.1,1.4,3.5,5.8,2.3,5.1,0.5,-0.9,-0.4,-0.1,-0.1,-0.3,-0.5,-1,1.7,-0.2,0.7,2.7,-0.8,1.5,-1.3,0.8,-0.3
"GSK317354A","CC1=C(C(N=C(N1)c1ccc(nc1)C(F)(F)F)c1ccc(F)cc1)C(=O)Nc1ccc2[nH]ncc2c1",0.1,0.3,0,-0.5,-0.6,0.1,-0.5,-0.2,1.7,1.3,-0.4,0.3,-0.1,-0.4,0.1,NA,-0.7,-0.4,0.3,0.1,2.8,0.8,3.8,1.7,2.3,-0.4,0,0.3,-0.4,1.1,0.1,-0.2,NA,0,-0.5,0.6,1.4,-0.6,3,3,-0.4,2.4,1.1,0.9,0.4,-0.5,0.7,-0.1,0.6,-0.9,0.2,0.5,0.8,0.2,0.3,-0.3,0.7,-0.2,-0.1,0,0,-0.4,0.8,0.4,0.1,-0.6,0.1,-0.9
"GSK319347A","COc1cc2ncn(-c3cc(OCc4ccccc4S(C)(=O)=O)c(s3)C#N)c2cc1OC",0,0.8,0.8,-0.5,-0.3,-0.2,-0.4,-0.2,1.1,0.5,0.9,1.6,2.1,4.5,1.7,-0.6,0.3,0.2,0.6,0.2,4.3,0.6,0.4,0,-0.5,3.9,3.1,0.5,-0.4,-0.9,0,0,0.3,0,2.2,3.6,3.6,1.3,1.8,3.7,2.2,5.1,1.3,0.7,-0.2,-0.2,3.1,0.2,4.7,6.4,10,0.4,-0.3,0.4,0.1,-0.3,0.3,0.1,-0.2,0.9,0.1,0.6,2.4,-0.8,-0.2,-0.3,0.8,0.1
"GSK326090A","C[C@@H](Oc1cc(sc1C(N)=O)-n1cnc2ccc(OCC3CCN(C)CC3)cc12)c1ccccc1C(F)(F)F",0.5,0.4,-0.3,-0.4,-0.4,0.1,-0.7,-0.4,-0.3,1.2,-1.6,0.9,2.9,7.7,0.5,-1.1,-0.1,-0.4,0.1,0.2,0.1,0,0.2,-0.2,2.1,1.4,0.9,0.2,-0.7,-1.1,-1,0.5,0.2,0.3,2.1,2.4,2.4,-1.6,0.8,3,-1.3,-0.9,1.8,5.5,6.4,-0.7,5.1,1.2,1.5,2.6,5.6,1.4,-0.6,-0.1,-0.2,-0.9,0,-0.5,-0.4,1.1,-0.2,0.5,4.5,1.3,1.4,-0.2,0.9,-0.7
"GSK466314A","Cc1n[nH]c2ccc(NC(=O)C3=C(C)NC(=O)CC3c3ccc(cc3)C(F)(F)F)cc12",0.1,0.6,0,-0.3,0,0.3,-0.3,0.1,1.4,0.9,0.1,-0.4,NA,0.3,1.2,0.3,0.1,-0.1,-0.4,1,1.7,0.2,1.5,0.3,3.5,-0.1,0.2,0.3,0.1,1.9,1.3,0.4,0.6,0.5,0.1,-0.2,5.2,-0.3,3.2,4.5,1.4,-0.1,0,-0.1,0.3,0,0.4,0.2,0.5,0.7,3.3,-0.2,-0.4,-0.3,0.3,0.2,2.6,0.1,-0.7,-0.3,-0.2,0.7,2.1,0.8,0.2,0.6,0.5,0
"GSK466317A","CC1=C(C(CC(=O)N1)c1ccc(cc1)C(F)(F)F)C(=O)Nc1cc(Cl)c2[nH]ncc2c1",0.1,0.7,0.5,-0.9,-0.2,0.5,-0.5,-0.1,2.2,1.9,0,0.5,NA,-0.2,1.4,-0.4,2.1,0.1,0.5,0.4,1,0.2,2.9,0.2,3.5,-0.1,0.2,0.8,0.1,3,2.2,0,-0.4,0.6,0.1,0.7,4.4,0.5,4.6,5.9,-1.1,-0.3,0.2,0.4,0.1,-0.4,0.4,0.4,0.6,0,1.4,0.7,0.9,0.3,0.9,0,2.5,0,0.1,-0.1,0,-0.7,2.5,1,0.7,-0.5,0.6,-0.6
"GSK554170A","OC(=O)C(F)(F)F.CCn1c(nc2c(ncc(OCC3CCNCC3)c12)C#CC(C)(C)O)-c1nonc1N",0,0.1,-0.2,-0.4,0.1,0.7,-0.2,0,-0.5,0.1,-0.1,-0.4,0.9,0.6,5.6,-0.7,0.4,0.3,-0.5,0,0.2,0.2,0,0,-0.4,1.1,0.2,0.2,1,0.5,1.3,0.2,0.5,1.6,0,0.2,0.2,4.6,-0.3,1.3,0.2,0.1,4.4,3.9,3.1,-0.1,0.4,-0.3,0.2,0.2,1.9,-0.2,-0.4,-0.1,-0.3,0,-0.4,0.1,-0.5,-0.3,-0.2,0.1,0.2,-0.7,0.1,1.1,0.1,0.3
"GSK561866B","OC(=O)C(F)(F)F.CCn1c(nc2c(ncc(OCCCN)c12)C#CCN)-c1nonc1N",-0.1,-0.1,-0.3,-0.6,-0.3,0.1,-0.8,-1,-0.1,-0.2,-0.4,-0.3,0.1,-0.2,0.2,-0.4,-0.1,-0.1,-0.1,0.9,0,0.4,1,0.1,0.5,3.1,0.7,-0.1,-0.3,0.5,1.6,0.2,0.3,0.1,-0.8,-0.2,-0.3,0.5,-0.4,0.8,0.1,2.3,2.6,3,3.7,-0.4,1.7,-0.3,0.8,-0.2,2.4,0,-0.1,0.1,-0.3,-0.6,0.1,-0.2,-0.5,-0.4,-0.3,-0.3,0.1,-0.4,-0.2,-0.7,-0.3,-0.6
"GSK571989A","C[C@@H](Oc1cc(sc1C(N)=O)-n1cnc2ccc(OCC3CCN(C)CC3)cc12)c1ccccc1Cl",0.3,0.2,-0.3,-0.6,0,0.4,-0.2,-0.7,-0.7,0.4,1.3,0.9,3,7,0.8,-0.4,0.2,0.2,0.4,1,0.5,-0.7,-0.1,-0.3,1.6,1.1,1.2,0.6,-0.7,-0.8,-0.3,0.7,0.8,0.2,0.9,2.1,2.7,3.9,1.3,2.4,-0.8,-0.2,1.4,4.9,6.3,-0.6,4,1.2,2.1,2.9,5.3,0.7,-0.5,-0.4,0.2,-0.3,0,-0.7,-0.3,0.2,-0.1,0.2,3.4,-0.3,-3.3,0.6,0.7,-0.4
"GSK579289A","C[C@@H](Oc1cc(sc1C(N)=O)-n1cnc2ccc(OC3CCN(C)CC3)cc12)c1ccccc1Cl",0.5,0.2,0,0.2,-0.2,0,0,0.2,-0.2,0.1,-2,0.9,3.7,6.9,3.3,-1.5,0,-0.1,0.4,0.6,0.4,-0.3,0,-0.4,0.5,0.5,-0.1,-0.3,-0.4,-0.6,0.2,0.5,0.2,0.3,0.2,2.5,1.2,3.4,1.9,2.6,-0.6,-0.1,1.1,4.5,6.5,-0.2,2.3,0.3,-0.9,1,2.8,0.9,-0.7,0.3,0.1,-0.3,0,-0.3,0,0.9,0.2,0,3.2,-0.3,-3.3,0,-0.1,0
"GSK586581A","CS(=O)(=O)Nc1ccc(cc1)-c1cc(cc(C(N)=O)c1N)-c1ccccc1",0.3,0.4,0,-0.7,-0.3,1.2,-0.2,-0.9,0.4,0.2,0.6,1.6,-0.2,-0.1,0,0.7,2,-0.4,0.4,0.2,-0.2,0.5,0.2,0.2,1,-0.1,0.2,0.2,-0.4,0.2,0.4,0.1,NA,-0.1,-0.5,0.2,-0.1,-0.5,0.4,1.1,0.3,0.4,0.5,0.5,0.2,-0.1,0.6,-0.5,0.7,-0.7,0.4,0.3,-0.2,0.2,1,-0.2,0.1,-0.1,-0.2,0.2,-0.1,-0.4,2,0.7,0.3,0.6,-0.2,-0.5
"GSK605714A","COc1ccc(cc1C(N)=O)-c1ccncc1",0.1,0.1,-0.2,-0.8,-0.1,1.4,-0.5,-1,0,0.1,-0.2,0.3,-0.2,-0.2,-0.1,-0.8,1.1,0,0.5,2.1,0.9,0.4,0.4,0,NA,-0.1,1.7,0.2,-0.3,-0.1,0.1,-0.2,NA,-0.1,-0.1,0.2,0.4,-0.4,0.2,0.6,1,1.3,0.4,0.2,0.2,-0.5,0.4,-0.1,0.9,-0.3,1.8,0.5,0,-0.2,0.2,-0.7,0.1,-0.2,-0.5,0.1,-0.1,-0.3,1.6,0.9,2.4,0.6,0.2,-0.3
"GSK614526A","OC(=O)C(F)(F)F.CCn1c(nc2c(ncc(OC[C@@H]3CCCN3)c12)C#CC(C)(C)O)-c1nonc1N",0.2,0.1,-0.1,-0.7,-0.3,-0.1,-0.9,-0.5,-0.1,0.2,-0.5,0.1,0.8,-0.4,6.5,-0.8,0.1,0.3,0.3,0.5,-0.2,0.3,0.7,-0.1,0.6,2,0.3,-0.1,1,0.6,2.5,0.2,0.8,0.4,-1.3,-0.1,1.3,4.2,0.8,1.3,0.1,0.3,4.1,3.5,2.1,-0.6,0.9,-0.3,0.1,-0.6,3.3,0,0.2,0.3,-0.5,-0.7,0.3,-0.3,-0.4,-0.2,-0.2,-0.2,0.4,-0.8,-0.2,0.9,0.1,-0.4
"GSK619487A","OC(=O)C(F)(F)F.CCn1c(nc2c(ncc(OC3CCNCC3)c12)C#CC(C)(C)O)-c1nonc1N",0.2,0.1,-0.1,0.1,-0.3,0.1,-0.4,-0.5,-0.2,0.1,-0.6,0,0,0.1,6.8,-0.4,0.6,0.6,0,1.1,0,0.5,0.4,-0.1,1.6,1.2,0.2,0.3,1.4,0.1,1.9,0.4,0.3,1.4,-0.7,-0.1,1.5,4.5,2.4,3.8,0.6,0.5,5.7,5.1,4.6,-0.2,0.7,-0.2,0.5,0,2.5,-0.1,0.2,0.3,-0.3,-0.4,0.3,0.2,-0.2,-0.2,-0.2,-0.1,0.7,-0.2,-0.1,0.5,-0.6,0
"GSK620503A","NC(=O)c1cc(cc(-c2ccncc2)c1N)-c1ccc(F)cc1",0,0.5,1,-0.2,-0.3,0.9,-0.2,0,0.1,-0.4,-1.8,0.1,0.4,0.2,0.5,1.1,1.7,-0.1,-0.1,-0.1,-0.1,-0.2,-0.2,-0.3,-0.1,-0.2,0.7,0.4,0.1,0.2,-0.3,-0.4,0.2,-0.2,-0.3,-0.1,-0.1,0.7,0.5,0.9,0,0.1,-0.2,-0.9,0.2,-0.2,0.1,-0.2,0.3,0.7,0.3,-0.1,-0.2,0.7,0.2,-0.2,0.2,-0.3,0.4,-0.1,0.3,0,0.9,0,-2.1,1.9,0.3,-0.5
"GSK625137A","NC(=O)c1cc(cc(-c2ccccc2)c1N)-c1ccncc1",0.1,2,1.1,-0.6,-0.2,3,-1,-0.9,-0.3,-0.4,0.2,0.5,0.2,-0.1,2.1,NA,3.3,-0.1,0.1,1.8,-0.2,0.4,0.1,0,-0.2,-0.2,5.4,3.8,-0.5,1,-0.5,0.5,NA,-0.3,-0.6,0.2,-0.4,2.2,0.3,1.1,0,-0.2,1.2,0.6,0.1,-0.5,0.4,-0.3,1.6,3.2,2.3,0.5,-0.7,0,0.2,-0.4,-0.1,-0.5,-0.4,-0.3,-0.2,-0.4,7.6,0.3,1.9,2.6,0.1,-0.5
"GSK635416A","CNC(=O)c1cc(cc(-c2ccc(cc2)S(=O)(=O)N2CCCC2)c1N)-c1ccc(F)cc1",0,0.3,-0.4,-0.3,0,0.2,0.1,-0.3,0.3,0.3,0.3,0.2,0,0.5,-0.1,-0.7,0.2,-0.3,0.2,0.1,-0.2,0.1,0.2,0.1,0,0.1,0,0,-0.2,-0.2,0.3,-0.2,NA,-0.1,-0.1,0,0,-0.9,-0.3,-0.3,-0.4,0.5,0.6,0,0.1,-0.3,0.3,-0.4,-0.2,-0.6,0.1,-0.2,-0.3,-0.4,0.2,-0.4,0,-0.3,-0.8,0.1,-0.2,-0.1,0.1,0.9,0.2,-0.5,0,-0.1
"GSK711701A","COc1c(cc(cc1-c1ccc(cc1)S(N)(=O)=O)-c1ccc(Cl)cc1)C(N)=O",0.1,1.8,-0.5,-0.9,-0.1,1.4,-0.4,-0.2,3.2,0.3,3.1,0.9,0.3,0.2,0,-0.7,2.4,-0.3,0.5,-0.1,2.9,0.1,0.3,0,-0.5,2.1,1.9,1,-0.5,-0.7,0.1,0.3,NA,0.3,0.4,0.1,0.3,2.1,-0.2,0.2,6.4,0.6,1.1,0.3,0.8,-0.2,0.6,-0.4,0.7,0.9,4.5,0.6,-0.3,-0.4,1.5,0.1,0.7,0,-0.7,0,-0.3,0.2,0.2,0.8,2.7,0.3,0.1,-1.1
"GSK718429A","CCn1cc(c(n1)-c1cccc(NC(=O)Nc2ccc(OCc3ccccc3)cc2)c1)-c1ccnc2[nH]ccc12",0.1,2.2,-1.1,-1.7,-0.4,0.7,-1.1,-0.1,NA,1.9,0.9,4.5,1,2.6,-1.1,NA,0.3,-0.5,0.9,0,0,0.7,-0.3,0.3,-0.4,1.1,-0.5,-1.2,0.6,-0.6,0.2,-0.4,0.5,0.1,0.2,-1.5,0.2,1.6,0.3,-0.7,-0.5,2.3,2.8,1.4,1.8,0.6,1.5,-2.7,-3,3.3,0.8,-5,-2.8,-2.3,1.8,-0.6,0.5,-0.9,-1.3,0.8,-1.8,0.2,0.8,-0.8,-0.5,-0.4,1.7,-2.6
"GSK938890A","CCn1c(nc2c(nc(OC[C@@H](N)c3ccccc3)cc12)C#CC(C)(C)O)-c1nonc1N",0.1,0.2,-0.2,-0.6,-0.3,0.3,-0.5,-0.6,0.5,0.8,-0.1,0.5,-0.2,0.2,8.5,-1,0.2,0.5,0.4,1.1,-0.6,0.4,1.1,-0.3,1.4,0.2,0.1,0.2,0.4,3.4,2.4,0.7,0.7,-0.1,-0.9,0.2,2.7,0.1,0.9,2,-0.7,-0.2,2.7,2.6,1.2,-0.4,0.7,-0.1,0.2,-0.3,4.7,0.3,-0.4,0,-0.5,-0.7,0.3,-0.2,-0.6,-0.1,-0.3,0,1.3,-0.9,0,-0.1,0.1,-0.1
"GSK943949A","CCn1c(nc2c(nc(OC[C@H](N)c3ccccc3)cc12)C#CC(C)(C)O)-c1nonc1N",0.1,0.5,-0.3,-0.7,-0.2,0.2,-0.6,-0.7,1,1,0.4,0.4,2.7,2,7,-1,0.4,0.2,0.4,0.6,-0.5,0.3,0.8,-0.2,1.3,0.5,0,0.2,0.4,2.8,0.6,0.5,0.2,0,-0.9,0.3,2.2,0.4,1,2.5,0.1,0.5,3.3,2.5,1.6,-0.5,0.3,-0.2,0.4,-0.2,5.5,0.6,-0.2,0,0,-0.4,0.1,-0.2,-0.5,0,-0.1,0,0.8,-0.9,0,2.3,0.3,-0.2
"GSK949675A","Cl.CCn1c(nc2c(nc(OCCNC)cc12)C#CC(C)(C)O)-c1nonc1N",-0.1,0.1,-0.3,-0.7,-0.1,0.2,-0.5,-0.3,-0.2,0.4,-0.1,-0.3,2.3,-0.2,3.1,-0.9,0.1,0.2,-1,-0.1,-0.3,0.3,0.3,0.1,0.2,0.4,-0.2,0.2,-0.2,0.4,0.2,-0.3,0.1,-0.2,-0.9,0.3,0.1,0.2,0.1,0.8,-0.4,0.1,2.1,1.7,0.8,-0.3,-0.1,-0.2,0.1,-0.1,2.2,-0.2,0.1,0.2,-0.5,-0.4,0,0.2,-0.2,-1.6,-0.8,0.2,0.3,-1.2,0.1,0.7,0.2,0.4
"GSK953913A","NS(=O)(=O)c1ccc(cc1)-c1cc2ccncc2cc1OCc1ccccc1",-0.1,0.1,-0.2,-0.9,-0.2,2.7,0.7,-1.5,0.3,0.1,0.2,0.7,0.7,1,0.5,-0.9,0.4,-0.3,0.5,0.6,0.2,0.5,0.3,0,-0.5,-0.1,1.3,1.4,-0.6,0.8,-1,-0.2,NA,-0.1,-0.3,0.6,0.2,-0.1,0.5,1.4,-0.5,0.6,2.1,0.8,0.2,-0.3,0.5,-0.2,2.4,-0.2,1.5,0.1,-0.3,0,0.2,0.4,0.2,-0.4,0.1,0,-0.2,-0.2,1.9,0.3,0.2,0.7,-0.3,-0.7
"GSK969786A","Fc1cccc(COc2ccc(Nc3ncnc4sc(cc34)-c3ccco3)cc2Cl)c1",1.3,0.3,3.4,0.6,0,0.4,NA,2.1,1.6,3,0.5,0.8,1.5,2.7,1.7,1.7,-0.2,-0.3,-0.8,-0.1,1.6,0.9,-0.3,0,2.1,0.6,0.3,0.8,0.1,0.6,1.2,0.2,NA,-0.2,0.9,1.6,1.1,0.1,0.6,1.2,1.2,2.9,2.9,1.8,3,0.4,2.9,1.8,-0.1,1.4,0.4,1.4,0.6,1.8,1.2,-0.1,-0.3,-0.1,-0.7,-1.5,-0.1,0.7,-0.3,NA,0.4,0.4,1.5,0.8
"GSK978744A","C[C@@H](Oc1cc(sc1C(N)=O)-n1cnc2ccc(OC[C@@H](O)CO)cc12)c1ccccc1Cl",0.3,0.8,0.1,-0.9,-0.2,0.1,-0.6,-0.8,-0.3,0.3,-0.5,1.1,3.3,6.5,1.8,-0.8,0.4,0.2,0.8,1.2,1.1,0.4,0.2,-0.1,0.6,0.8,0.5,0.3,-0.5,-0.4,-0.1,0.3,0.2,0.2,-0.1,1.3,0.9,2,0,1.4,-0.6,-0.2,1.6,4.2,4,-0.5,2,0.8,5.5,0.9,3.8,1.3,0.2,0.1,1.3,-0.2,0,-0.1,-0.2,0.7,0.2,0.4,6.3,-0.2,2.5,1.1,1.1,-0.3
"GSK980961A","NS(=O)(=O)c1cccc(c1)-c1cc2ccncc2cc1OCc1ccccc1",0.2,0.1,0.3,-0.7,0.4,3.4,-0.9,-0.3,0.4,-0.3,-1.8,0.2,0.9,1,0.6,NA,-0.1,-0.3,0.1,0.4,0.5,-0.4,-0.2,-0.2,1.7,-0.2,3.2,3.7,-0.2,0.8,-0.7,-0.1,1.1,-0.2,-0.2,-0.1,0.5,-0.1,0.4,0.9,-0.5,-0.2,0.7,-0.6,0.3,-0.2,0.2,-0.3,1.3,-0.2,0.4,-0.1,0.1,0.6,0.7,0,0.4,-0.8,-0.2,0,0.2,0.2,2.8,0.1,-1.5,2.2,0.3,-0.4
"GSK994854A","CCCN1CCC=C(C1)c1ccc(Nc2nc(Nc3ccccc3C(N)=O)c3cc[nH]c3n2)c(C)c1",4.7,0.3,0.3,0.6,3.6,3.9,-0.9,5.5,3.7,2.4,-0.8,2,0.7,1.8,4.9,0.1,6.4,3,0.6,0.5,1,1,1.3,-0.1,4.9,0.2,0.9,1,0.1,2.8,-0.6,0.2,7.7,2.1,3.3,2.1,12.6,-2.2,2.4,5.6,2.1,5.2,2.7,3.9,2.7,0.1,1,3.9,3.6,6.9,4.4,1.7,1.9,0.5,9.9,1,1.6,1.2,0.1,3.8,2.2,1.4,8.6,8.7,7.6,0.6,12.5,-0.6
"GW275616X","NS(=O)(=O)c1cccc(N\C=C2/C(=O)Nc3ccccc23)c1",0.3,1.4,-0.2,-0.9,0.2,1.7,-0.8,-0.1,1.3,2,3.1,4.2,0.6,0.8,1.2,-1.1,2.5,0.8,1,1.3,4.9,1.2,0.4,0.1,1.6,3,0.3,0.2,-0.3,4.2,-0.8,-0.1,NA,0.4,2.6,2.8,4.8,1.3,2.5,4.6,5,7.4,1.1,0.8,0.5,-0.1,0.6,2.9,4.9,0.3,2.5,1.3,2.3,1,0.9,-0.3,0.3,-0.1,-0.4,0.7,0.3,0.3,3.9,0.7,3.6,-0.1,2.2,-0.5
"GW275944X","Cc1ccc2NC(=O)\C(c2c1)=N/Nc1ccc(cc1)S(N)(=O)=O",0,2.9,0.4,-0.3,0,2.6,-0.3,0.9,4.6,4.4,2.8,5.2,NA,0.5,0.9,0.8,1.7,0.2,0.5,2.6,2.8,0.9,-0.4,-0.3,0,1.5,-0.2,0.2,0.7,2,0.3,-0.6,0.5,0.7,1,1.4,2.4,1.9,4,6.1,5.3,7,2.1,1.2,0.8,0.1,0.9,2.6,6.5,1.1,3.8,3.4,8.9,2.8,0.8,0.7,-0.2,0.1,0.3,0.3,0.2,0.7,2.4,2.6,2.3,1.7,4,0
"GW276655X","NS(=O)(=O)c1ccc(N\N=C2/C(=O)Nc3ccc(cc23)-c2cnco2)cc1",0.2,1.6,-0.2,-0.8,-0.1,3.5,-0.9,-1.3,0.7,2.8,3.1,4.2,0,0.4,0.9,-1.3,2.2,0.2,0.9,6.2,2.1,1.3,0.3,0.2,1.8,1.5,0.5,0.2,-0.4,0.9,0.2,-0.2,NA,-0.5,0.3,1.7,1.5,1,3,5.4,7.1,9.7,5.5,3.5,4.4,-0.4,0.7,0.7,5.5,0.4,6.4,3.2,7.8,1.3,1.1,-0.2,0,-1.4,0.7,0.6,0.4,0.4,8.4,-0.7,8.5,2,3.1,-0.7
"GW278681X","CS(=O)(=O)Nc1ccc(N\C=C2/C(=O)Nc3ccccc23)cc1",0.4,2.7,0.8,-0.1,0.9,1,-0.4,1.1,0.9,4.1,-1.5,4.6,0.5,2.1,1,-0.1,2.2,1.3,0.6,1.5,4.8,0.5,1.3,0.2,0.4,3.1,0.1,0.6,0.7,2.8,1,0.2,1.7,0.6,1.4,1.4,6.4,-1.5,3.2,5.3,1.5,8.1,0.7,0.6,0,0.1,0.3,4.1,5.6,1.2,5.2,1.8,4.3,1.2,1.8,0.5,0.1,0,0.5,0.1,0.1,0.6,2.3,1.5,3.2,0.4,3,0.7
"GW279320X","Cc1cc(Cl)cc2C(=NNc3ccc(cc3)S(N)(=O)=O)C(=O)Nc12",0.1,0.2,0.1,-0.2,0.1,0.1,-0.1,-0.1,0.5,0.4,0,0.2,NA,-1,0.1,-0.2,0.1,0,-0.1,-0.2,0.2,0.5,0,-0.2,0,-0.1,0.2,0.1,0,-0.8,0.4,-0.5,-0.5,0.1,0.1,0,-0.3,0.1,-0.1,0.3,0.1,0.7,0,0.5,0.5,-0.2,0.1,-0.1,0.5,0.1,0.1,0,-0.2,-0.1,-0.1,0,-0.1,0.2,-0.1,0,0.1,-0.4,0.3,-0.9,-0.2,-0.4,0.9,-0.1
"GW280670X","NS(=O)(=O)c1ccc(N\N=C2/C(=O)Nc3ccc(Cl)cc23)cc1",0.5,2.9,1,0.6,0,2.4,-0.2,0.8,-1.1,4.8,3.1,5.4,1.3,0.2,1.6,3.3,2.6,-0.2,2.1,1.6,5.1,1.2,-0.3,-0.1,0.7,1.5,0.7,0.7,0.1,1.6,1.2,-0.3,NA,-0.4,1.3,1.4,1.3,3.1,3.4,6.7,6.1,8.5,3,3,2.6,-0.3,1.3,3.9,5.3,1.7,3.6,3.2,9.8,1.3,2.2,0.4,-0.4,0.4,0.1,0.1,0.6,0.3,2.7,0,4.1,1.2,3.3,-0.2
"GW282449A","Cl.COc1cc2ncnc(Nc3ccc4n(Cc5ccccc5)ncc4c3)c2cc1OC",0.3,1.2,2.8,-0.9,-0.4,2.2,-0.1,-1.2,0.2,0.2,0.1,1,3,9.6,-0.1,-0.8,-0.1,-0.1,0.6,0.3,2.2,0.8,0.4,0.2,1.8,-0.1,-0.1,0.1,-0.6,0,-0.5,-0.2,NA,-0.1,-0.4,0.3,0.8,-1,1.7,2,0.6,1.2,0.8,0.4,0.1,-0.4,0.9,0,0.6,0.8,0.9,0,-0.4,0,0.8,-0.6,0,-1.1,-0.5,0.2,-0.2,-0.4,0.5,0.6,0.1,-1,0.6,-0.4
"GW282536X","Cc1cccc2c1NC(=O)\C2=N/Nc1ccc(cc1)S(N)(=O)=O",0,0.9,0.1,-0.6,0,1.3,-0.1,0,1,1.1,2,2.6,NA,-0.4,0.3,0.3,1,-0.1,0.4,2.8,1.9,0,0.2,-0.3,0.4,1.2,0.2,0.5,-0.2,-0.2,0.8,0.1,0.2,0.4,0.7,0.1,0.2,1.7,0,0.4,2.4,1.5,-0.2,0.3,0.2,0,0.6,0.3,0.7,0.8,3.2,0.1,0.1,0,0.6,0.3,-0.1,0,0,0.2,0,-0.1,0.8,1.7,1.7,0.8,1.8,-0.1
